B0,B1,B2,B3,Label
-72,-73,-78,-76,5
-73,-73,-84,-73,5
-72,-64,-62,-75,4
-60,-64,-82,-76,4
-62,-78,-79,-55,13
-79,-72,-76,-75,12
-81,-80,-54,-59,16
-88,-74,-46,-55,16
-74,-85,-92,-71,5
-81,-71,-60,-88,12
-74,-80,-77,-55,13
-75,-66,-88,-77,8
-73,-65,-72,-70,8
-72,-86,-80,-70,5
-94,-76,-81,-57,13
-88,-59,-55,-54,16
-70,-77,-76,-57,13
-72,-76,-80,-52,13
-91,-57,-54,-79,16
-59,-66,-71,-56,8
-70,-78,-70,-52,13
-60,-65,-72,-71,8
-89,-81,-75,-86,12
-76,-64,-79,-62,4
-71,-78,-83,-59,1
-80,-65,-89,-62,4
-81,-65,-77,-68,4
-73,-66,-93,-73,8
-85,-85,-61,-63,12
-69,-73,-78,-74,5
-77,-74,-54,-68,16
-89,-61,-61,-88,12
-71,-81,-76,-56,13
-56,-71,-82,-72,5
-72,-74,-81,-69,1
-71,-77,-85,-57,9
-75,-66,-72,-66,8
-74,-72,-78,-55,13
-68,-66,-78,-62,9
-90,-73,-75,-89,12
-50,-74,-84,-71,1
-86,-73,-54,-69,16
-70,-63,-79,-56,13
-79,-47,-83,-72,4
-72,-73,-79,-74,5
-60,-84,-79,-52,13
-73,-66,-71,-72,8
-68,-86,-75,-58,9
-73,-55,-90,-55,8
-78,-58,-81,-81,4
-72,-59,-81,-53,13
-70,-97,-81,-72,1
-70,-58,-76,-57,13
-86,-81,-45,-62,16
-90,-79,-69,-82,12
-81,-64,-76,-77,4
-83,-61,-91,-70,8
-73,-81,-54,-68,16
-62,-63,-83,-83,4
-69,-59,-72,-76,4
-73,-65,-78,-77,4
-74,-73,-71,-71,8
-66,-96,-81,-60,1
-73,-63,-81,-74,4
-71,-77,-90,-76,1
-73,-63,-78,-79,4
-88,-74,-79,-77,5
-80,-82,-56,-67,16
-70,-86,-85,-58,9
-68,-64,-84,-61,4
-71,-74,-92,-74,5
-70,-67,-89,-75,1
-82,-60,-78,-52,13
-71,-88,-79,-76,5
-74,-73,-85,-87,5
-59,-80,-78,-73,5
-72,-88,-91,-45,9
-62,-64,-80,-78,4
-81,-72,-55,-78,16
-74,-65,-93,-69,8
-72,-58,-79,-76,4
-83,-81,-76,-52,13
-74,-65,-88,-70,8
-64,-78,-82,-66,1
-73,-63,-80,-73,4
-89,-70,-76,-85,12
-69,-81,-73,-84,1
-80,-85,-85,-90,1
-81,-83,-69,-61,9
-75,-63,-80,-73,4
-86,-71,-76,-85,12
-78,-72,-56,-69,16
-69,-64,-72,-70,8
-83,-80,-61,-80,12
-74,-64,-85,-71,8
-70,-75,-90,-59,1
-65,-80,-66,-75,1
-72,-74,-64,-73,5
-76,-82,-84,-58,9
-71,-73,-61,-83,5
-70,-84,-82,-58,9
-88,-80,-75,-84,12
-61,-84,-79,-53,13
-74,-76,-79,-52,13
-84,-55,-71,-72,8
-84,-81,-77,-82,12
-74,-78,-76,-55,13
-73,-64,-71,-71,8
-89,-72,-45,-68,16
-54,-79,-86,-61,9
-72,-86,-54,-68,16
-69,-84,-95,-72,1
-71,0,0,-56,13
-92,-83,-75,-74,12
-64,-79,-85,-58,9
-83,-80,-78,-41,13
-59,-78,-84,-71,1
-70,-64,-79,-60,4
-74,-67,-91,-70,8
-74,-64,-80,-78,4
-73,-65,-71,-70,8
-71,-84,-85,-75,5
-71,-78,-78,-55,13
-63,-67,-92,-72,5
-72,-96,-79,-75,5
-68,-63,-81,-52,13
-72,-96,-87,-59,5
-85,-71,-76,-63,12
-90,-66,-73,-60,12
-86,-65,-56,-68,16
-70,-85,-74,-57,9
-69,-72,-83,-58,9
-85,-82,-54,-52,16
-87,-75,-55,-77,16
-71,-82,-77,-52,13
-53,-87,-83,-59,9
-74,-50,-92,-72,8
-85,-82,-54,-66,16
-82,-56,0,-76,12
-70,-83,-75,-44,9
-60,-75,-81,-78,1
-80,-72,-75,-75,12
-65,-77,-83,-74,1
-75,-51,-71,-72,8
-80,-71,-76,-80,12
-68,-72,-55,-70,16
-72,-84,-78,-73,5
-72,-63,-79,-71,4
-73,-66,-56,-72,8
-82,-74,-54,-65,16
-72,-96,-82,-58,1
-72,-88,-93,-84,5
-74,-76,-83,-55,13
-55,-91,-82,-72,5
-75,-47,-77,-82,4
-69,-65,-70,-64,4
-70,-84,-75,-58,9
-83,-74,-51,-61,16
-71,-78,-82,-72,1
-89,-84,-75,-77,12
-71,-76,-77,-57,5
-81,-82,-60,-82,12
-67,-83,-73,-61,9
-75,-83,-76,-61,9
-71,-73,-79,-72,5
-94,-83,-56,-55,16
-64,-81,-87,-58,9
-74,-77,-82,-72,1
-76,-49,-77,-77,4
-80,-75,-56,-77,16
-71,-90,-62,-73,5
-64,-84,-84,-58,9
-80,-79,-56,-60,16
-72,-71,-79,-75,5
-80,-64,-76,-88,4
-88,-82,-38,-67,16
-68,-67,-91,-59,9
-82,-68,-54,-68,16
-74,-64,-72,-69,8
-73,-73,-83,-70,1
-71,-63,-81,-73,4
-73,-78,-80,-75,4
-81,-71,-76,-87,12
-70,-73,-79,-86,5
-86,-81,-54,-77,16
-73,-74,-77,-77,5
-83,-71,-75,-80,12
-76,-58,-85,-81,4
-76,-65,-71,-59,4
-84,-79,-78,-55,13
-91,-69,-75,-77,12
-70,-85,-85,-58,9
-72,-74,-83,-70,5
-77,-76,-55,-77,16
-75,-75,-70,-56,13
-73,-81,-55,-69,16
-68,-85,-68,-43,9
-71,-92,-80,-73,5
-73,-86,-84,-80,5
-76,-65,-79,-83,4
-90,-84,-74,-75,12
-74,-82,-74,-74,12
-73,-64,-76,-63,4
-81,-78,-46,-68,16
-71,-73,-80,-73,5
-64,-64,-62,-72,8
-82,-75,-74,-55,13
-84,-48,-81,-72,4
-72,-66,-90,-69,8
-59,-85,-84,-58,9
-86,-66,-46,-65,16
-57,-76,-76,-52,13
-86,-82,-40,-80,16
-80,-64,-45,-68,16
-74,-78,-76,-73,5
-69,-72,-85,-59,9
-72,-76,-77,-55,13
-91,-72,-73,-87,12
-81,-78,-79,-58,13
-83,-81,-77,-80,12
-81,-65,-78,-80,4
-74,-64,-93,-74,8
-71,-66,-81,-57,13
-94,-80,-76,-90,12
-62,-86,-92,-73,5
-74,-76,-66,-55,13
-81,-55,-76,-77,12
-87,-66,-54,-71,16
-73,-64,-72,-69,8
-65,-79,-82,-69,1
-94,-80,-79,-53,13
-60,-88,-75,-59,9
-72,-81,-74,-58,13
-69,-78,-79,-62,9
-73,-66,-72,-69,8
-72,-74,-87,-71,5
-93,-72,-75,-75,12
-70,-81,-84,-72,1
-72,-74,-79,-82,5
-93,-71,-79,-52,13
-75,-73,-78,-68,1
-64,-84,-70,-58,9
-74,-82,-92,-68,8
-82,-63,-82,-79,4
-74,-65,-72,-69,8
-73,-91,-79,-70,1
-70,-79,-75,-71,1
-74,-60,-72,-73,8
-70,-84,-59,-75,12
-83,-64,-88,-69,8
-61,-74,-66,-51,9
-73,-97,-90,-79,5
-72,-91,-82,-72,1
-90,-70,-74,-83,12
-65,-82,-86,-71,1
-70,-78,-77,-65,13
-80,-84,-75,-74,12
-69,-87,-96,-79,1
-73,-94,-85,-71,5
-74,-77,-85,-71,8
-63,-74,-78,-75,5
-82,-75,-69,-56,13
-81,-47,-80,-72,4
-72,-63,-64,-75,4
-75,-65,-91,-70,8
-73,-81,-93,-72,1
-66,-89,-92,-79,1
-60,-85,-84,-61,9
-93,-66,-72,-70,8
-71,-80,-93,-73,5
-70,-79,-67,-70,1
-72,-74,-80,-70,5
-65,-74,-94,-74,1
-70,-82,-74,-58,9
-70,-79,-79,-42,13
-70,-85,-85,-58,9
-73,-85,-79,-71,5
-75,-65,-78,-73,8
-72,-86,-84,-91,1
-79,-76,-72,-75,8
-63,-79,-73,-59,9
-71,-81,-84,-54,9
-76,-64,-82,-80,4
-88,-71,-74,-61,12
-77,-88,-82,-70,1
-89,-72,-76,-86,12
-86,-79,-40,-78,16
-75,-66,-88,-71,8
-72,-77,-82,-55,13
-83,-73,-55,-70,16
-59,-73,-91,-71,5
-74,-66,-71,-71,8
-87,-81,-55,-77,16
-72,-81,-75,-83,12
-71,-74,-88,-70,5
-58,-79,-81,-44,13
-69,-85,-88,-61,9
-79,-64,-78,-73,4
-71,-74,-88,-69,5
-75,-81,-56,-60,16
-71,-82,-80,-60,9
-87,-82,-56,-69,16
-81,-74,-56,-77,16
-71,-83,-77,-59,9
-82,-64,-82,-81,4
-73,-83,-78,-61,9
-71,-85,-90,-73,5
-73,-88,-79,-82,5
-77,-74,-80,-52,13
-75,-64,-82,-74,4
-90,-66,-91,-69,8
-76,-79,-85,-78,1
-85,-69,-55,-75,16
-86,0,0,-79,16
-73,-68,-75,-52,13
-80,-70,-76,-75,12
