B1_RSSI,B2_RSSI,Class
-83,0,1
-81,-77,1
-81,-78,1
-68,-76,1
-83,-77,1
-83,-61,1
-83,-79,1
-80,-63,1
-80,-72,1
-80,-77,1
-62,-72,1
-69,-72,1
-71,-75,1
-67,-58,1
-68,-58,1
-70,-71,1
-86,-77,1
-68,-76,1
-83,-71,1
-84,-76,1
-70,-79,1
-77,-77,1
-86,-66,1
-88,-75,1
-90,-60,1
-70,-74,1
-69,-77,1
-84,-71,1
-71,-76,1
-83,-75,1
-83,-77,1
-82,-61,1
-82,-76,1
-81,-77,1
-83,-77,1
-84,-72,1
-66,-76,1
-66,-78,1
-91,-78,1
-91,-80,1
-79,-77,1
-72,-76,1
-72,-76,1
-69,-71,1
-88,-77,1
-88,-75,1
-86,-75,1
-86,-72,1
-85,-76,1
-68,-67,1
-66,-76,1
-66,-72,1
-66,-71,1
-66,-75,1
-59,-70,1
-85,-76,1
-83,-68,1
-85,-70,1
-83,-75,1
-83,-78,1
-68,-76,1
-69,-76,1
-70,-62,1
-71,-80,1
-82,-71,1
-87,-71,1
-67,-75,1
-69,-77,1
-82,-76,1
-55,-75,1
-83,-77,1
-59,-61,1
-83,-72,1
-79,-56,1
-69,-76,1
-69,-72,1
-71,-70,1
-84,-76,1
-80,-61,1
-86,-72,1
-80,-78,1
-84,-68,1
-73,-76,1
-73,-72,1
-85,-75,1
-75,-66,1
-84,-70,1
-69,-70,1
-87,-69,1
-86,-77,1
-87,-76,1
-70,-78,1
-70,-75,1
-83,-76,1
-70,-56,1
-84,-77,1
-69,-68,1
-77,-67,1
-82,-75,1
-76,-77,1
-66,-71,1
-78,-71,1
-77,-78,1
-70,-79,1
-70,-78,1
-68,-78,1
-80,-70,1
-69,-76,1
-82,-70,1
-91,-77,1
-69,-76,1
-89,-78,1
-68,-75,1
-68,-71,1
-59,-74,1
-70,-67,1
-70,-76,1
-78,-76,1
-78,-71,1
-78,-71,1
-69,-76,1
-69,-76,1
-86,-70,1
-69,-71,1
-87,-76,1
-82,-76,1
-59,-76,1
-68,-79,1
-84,-78,1
-84,-79,1
-54,-61,1
-82,-76,1
-70,-76,1
-69,-77,1
-69,-76,1
-69,-71,1
-90,-62,1
-54,-77,1
-74,-72,1
-60,-69,1
-84,-69,1
-76,-69,1
-87,-69,1
-82,-75,1
-76,-76,1
-70,-71,1
-69,-76,1
-83,-76,1
-88,-62,1
-85,-70,1
-83,-75,1
-68,-76,1
-55,-76,1
-87,-71,1
-89,-60,1
-87,-74,1
-87,-76,1
-87,-77,1
-55,-76,1
-86,-76,1
-93,-71,1
-84,-75,1
-70,-75,1
-71,-72,1
-74,-85,1
-67,-78,1
-83,-69,1
-83,-77,1
-88,-75,1
-71,-77,1
-83,-70,1
-71,-61,1
-68,-76,1
-83,-75,1
-80,-73,1
-80,-76,1
-60,-71,1
-73,-77,1
-87,-76,1
-86,-76,1
-81,-70,1
-64,-76,1
-68,-76,1
-84,-76,1
-88,-70,1
-100,-74,1
-83,-76,1
-87,-76,1
-89,-75,1
-89,-72,1
-81,-76,1
-81,-61,1
-85,-70,1
-85,-77,1
-77,-78,1
-80,-76,1
-80,-83,1
-55,-83,1
-85,-74,1
-87,-76,1
-87,-80,2
-71,-77,2
-66,-76,2
-79,-73,2
-61,-74,2
-72,-82,2
-50,-72,2
-70,-74,2
-65,-73,2
-64,-74,2
-72,-77,2
-51,-73,2
-80,-75,2
-80,-80,2
-70,-59,2
-69,-82,2
-71,-76,2
-79,-73,2
-65,-81,2
-70,-73,2
-61,-82,2
-77,-77,2
-79,-80,2
-66,-76,2
-72,-74,2
-85,-78,2
-85,-73,2
-65,-65,2
-67,-79,2
-84,-79,2
-66,-80,2
-64,-71,2
-65,-72,2
-80,-79,2
-66,-82,2
-67,-84,2
-64,-78,2
-84,-74,2
-67,-80,2
-83,-75,2
-86,-77,2
-66,-73,2
-84,-77,2
-66,-71,2
-67,-78,2
-67,-77,2
-69,-83,2
-55,-78,2
-55,-64,2
-86,-82,2
-73,-83,2
-67,-78,2
-69,-72,2
-65,-72,2
-68,-76,2
-64,-67,2
-85,-77,2
-88,-77,2
-86,-76,2
-71,-72,2
-86,-80,2
-70,-77,2
-67,-73,2
-65,-72,2
-64,-68,2
-86,-80,2
-70,-72,2
-69,-78,2
-65,-77,2
-69,-73,2
-65,-79,2
-65,-79,2
-65,-61,2
-71,-73,2
-73,-64,2
-72,-69,2
-77,-79,2
-81,-73,2
-83,-80,2
-84,-78,2
-78,-65,2
-78,-73,2
-64,-81,2
-54,-79,2
-68,-79,2
-55,-79,2
-69,-72,2
-65,-76,2
-69,-72,2
-67,-79,2
-84,-79,2
-69,-73,2
-66,-59,2
-67,-79,2
-85,-77,2
-71,-77,2
-84,-66,2
-66,-62,2
-69,-62,2
-66,-80,2
-71,-77,2
-82,-79,2
-81,-73,2
-82,-79,2
-66,-79,2
-51,-79,2
-81,-79,2
-51,-78,2
-66,-73,2
-66,-73,2
-83,-80,2
-66,-73,2
-66,-72,2
-69,-80,2
-65,-80,2
-67,-79,2
-81,-80,2
-80,-80,2
-66,-77,2
-67,-72,2
-51,-78,2
-81,-73,2
-71,-79,2
-88,-73,2
-66,-67,2
-65,-65,2
-69,-77,2
-71,-81,2
-69,-73,2
-70,-66,2
-82,-72,2
-71,-80,2
-71,-79,2
-67,-79,2
-72,-79,2
-57,-77,2
-83,-77,2
-88,-77,2
-87,-79,2
-71,-58,2
-66,-72,2
-66,-80,2
-51,-74,2
-70,-59,2
-70,-78,2
-82,-62,2
-56,-62,2
-65,-64,2
-79,-74,2
-51,-78,2
-57,-77,2
-71,-73,2
-71,-73,2
-65,-73,2
-81,-77,2
-70,-77,2
-66,-65,2
-72,-73,2
-71,-77,2
-51,-77,2
-71,-80,2
-57,-79,2
-66,-81,2
-66,-79,2
-51,-79,2
-67,-73,2
-65,-80,2
-80,-74,2
-65,-78,2
-61,-78,2
-71,-77,2
-57,-73,2
-66,-78,2
-68,-70,2
-69,-77,2
-65,-79,2
-81,-74,2
-81,-63,2
-52,-79,2
-56,-62,2
-61,-79,2
-52,-78,2
-67,-77,2
-65,-59,2
-71,-61,2
-65,-61,2
-85,-67,2
-84,-72,2
-68,-72,2
-52,-77,2
-77,-58,2
-85,-77,2
-79,-77,2
-85,-65,2
-65,-70,2
-87,-76,2
-65,-72,2
-65,-78,2
-77,-74,2
-83,-68,2
-61,-66,3
-62,-79,3
-66,-82,3
-66,-78,3
-75,-75,3
-72,-77,3
-79,-77,3
-77,-79,3
-76,-79,3
-74,-79,3
-60,-78,3
-75,-76,3
-77,-63,3
-60,-77,3
-62,-79,3
-78,-79,3
