B1_RSSI,B2_RSSI,B3_RSSI,Class
-45,-90,-65,1
-59,-85,-79,1
-59,-73,-77,1
-58,-75,-78,1
-55,-74,-83,1
-59,-87,-76,1
-58,-87,-64,1
-64,-93,-82,1
-55,-77,-82,1
-45,-76,-66,1
-65,-89,-82,1
-57,-74,-79,1
-61,-74,-66,1
-59,-74,-82,1
-47,-83,-79,1
-64,-83,-80,1
-63,-90,-80,1
-43,-82,-79,1
-59,-77,-79,1
-64,-91,-69,1
-59,-74,-69,1
-58,-75,-79,1
-59,-92,-81,1
-47,-75,-65,1
-59,-83,-65,1
-59,-83,-86,1
-43,-95,-65,1
-43,-75,-79,1
-53,-75,-85,1
-44,-83,-87,1
-61,-75,-80,1
-58,-74,-88,1
-64,-89,-87,1
-63,-74,-80,1
-64,-74,-80,1
-58,-82,-79,1
-49,-67,-79,1
-57,-81,-79,1
-57,-81,-76,1
-59,-96,-79,1
-59,-59,-79,1
-43,-74,-85,1
-60,-76,-81,1
-59,-76,-86,1
-58,-98,-80,1
-59,-74,-85,1
-53,-74,-85,1
-64,-80,-79,1
-57,-80,-81,1
-58,-81,-81,1
-65,-76,-79,1
-57,-76,-79,1
-60,-95,-65,1
-57,-80,-74,1
-59,-64,-76,1
-59,-75,-81,1
-64,-81,-88,1
-43,-84,-78,1
-59,-94,-78,1
-58,-86,-81,1
-61,-74,-82,1
-59,-85,-79,1
-63,-85,-82,1
-59,-81,-67,1
-64,-67,-80,1
-58,-74,-79,1
-57,-74,-79,1
-59,-83,-82,1
-60,-74,-82,1
-59,-79,-79,1
-65,-94,-79,1
-59,-93,-79,1
-53,-81,-80,1
-59,-99,-72,1
-59,-74,-81,1
-54,-74,-81,1
-59,-81,-86,1
-59,-96,-88,1
-64,-96,-81,1
-50,-74,-81,1
-58,-92,-79,1
-64,-92,-80,1
-59,-96,-80,1
-59,-92,-68,1
-61,-74,-82,1
-58,-79,-88,1
-47,-82,-78,1
-57,-77,-81,1
-59,-82,-78,1
-48,-80,-83,1
-57,-80,-79,1
-44,-73,-81,1
-59,-80,-96,1
-63,-74,-70,1
-44,-73,-78,1
-58,-74,-71,1
-57,-59,-73,1
-60,-85,-84,1
-65,-81,-80,1
-64,-74,-80,1
-64,-74,-72,1
-60,-74,-74,1
-65,-74,-81,1
-58,-71,-81,1
-59,-71,-81,1
-51,-74,-82,1
-45,-90,-81,1
-58,-72,-69,1
-59,-72,-84,1
-58,-88,-82,1
-59,-79,-82,1
-57,-73,-82,1
-59,-84,-86,1
-59,-84,-85,1
-58,-73,-80,1
-77,-92,-68,1
-65,-98,-68,1
-47,-98,-68,1
-59,-80,-82,1
-64,-90,-82,1
-45,-82,-82,1
-59,-75,-85,1
-59,-91,-81,1
-59,-84,-87,1
-44,-84,-80,1
-54,-87,-82,1
-57,-74,-85,1
-57,-92,-77,1
-43,-80,-77,1
-58,-70,-79,1
-58,-85,-78,1
-59,-82,-79,1
-59,-83,-68,1
-59,-83,-79,1
-43,-83,-80,1
-57,-83,-88,1
-59,-74,-63,1
-55,-80,-63,1
-59,-86,-82,1
-57,-73,-69,1
-63,-96,-69,1
-61,-86,-69,1
-64,-87,-69,1
-59,-73,-71,1
-59,-79,-83,1
-64,-80,-84,1
-63,-80,-84,1
-53,-60,-84,1
-58,-61,-69,1
-58,-61,-80,1
-64,-76,-80,1
-63,-74,-81,1
-45,-60,-80,1
-45,-74,-80,1
-58,-91,-82,1
-59,-75,-82,1
-44,-74,-82,1
-60,-82,-79,1
-58,-82,-79,1
-47,-82,-86,1
-64,-88,-80,1
-58,-75,-82,1
-58,-72,-64,1
-44,-73,-80,1
-59,-73,-84,1
-65,-73,-80,1
-47,-82,-87,1
-43,-82,-87,1
-46,-82,-80,1
-65,-82,-86,1
-64,-89,-86,1
-59,-80,-86,1
-59,-74,-81,1
-59,-74,-80,1
-60,-74,-81,1
-57,-81,-82,1
-57,-80,-82,1
-59,-91,-81,1
-44,-92,-86,1
-59,-61,-87,1
-58,-81,-81,1
-59,-92,-67,1
-64,-92,-77,1
-59,-73,-65,1
-59,-74,-81,1
-44,-74,-69,1
-59,-87,-83,1
-64,-81,-83,1
-58,-76,-83,1
-44,-87,-81,1
-59,-87,-74,1
-59,-72,-80,1
-64,-90,-80,1
-64,-94,-82,1
-60,-75,-76,1
-64,-95,-85,1
-59,-83,-85,1
-59,-91,-80,1
-57,-94,-86,1
-57,-73,-80,1
-48,0,-80,2
-63,-78,-80,2
-65,-77,-78,2
-62,-77,-77,2
-65,-75,-63,2
-63,-60,-63,2
-47,-79,-79,2
-48,-79,-77,2
-65,-78,-77,2
-63,-79,-62,2
-48,-79,-69,2
-54,-61,-61,2
-54,-79,-64,2
-63,-75,-61,2
-65,-75,-78,2
-68,-79,-75,2
-65,-69,-79,2
-49,-61,-62,2
-64,-63,-61,2
-65,-65,-79,2
-62,-79,-79,2
-62,-74,-79,2
-65,-68,-77,2
-62,-80,-78,2
-65,-75,-79,2
-64,-64,-62,2
-47,-61,-78,2
-65,-78,-78,2
-63,-78,-78,2
-62,-75,-78,2
-48,-78,-78,2
-63,-80,-76,2
-64,-76,-75,2
-63,-79,-78,2
-65,-80,-62,2
-65,-80,-61,2
-65,-66,-78,2
-64,-66,-78,2
-64,-78,-78,2
-64,-78,-75,2
-64,-68,-76,2
-65,-76,-75,2
-65,-79,-78,2
-48,-77,-77,2
-65,-77,-76,2
-65,-77,-78,2
-63,-76,-76,2
-64,-61,-78,2
-65,-61,-78,2
-65,-76,-78,2
-65,-78,-79,2
-64,-75,-78,2
-49,-75,-77,2
-48,-65,-75,2
-66,-80,-77,2
-66,-60,-76,2
-66,-78,-77,2
-65,-78,-61,2
-67,-74,-81,2
-62,-83,-81,2
-62,-70,-81,2
-63,-86,-75,2
-66,-78,-76,2
-63,-87,-76,2
-48,-87,-79,2
-66,-87,-79,2
-66,-73,-75,2
-49,-78,-79,2
-66,-75,-78,2
-65,-75,-67,2
-65,-76,-67,2
-65,-79,-78,2
-63,-75,-62,2
-65,-78,-75,2
-48,-80,-75,2
-65,-74,-76,2
-65,-78,-76,2
-54,-80,-76,2
-66,-75,-77,2
-62,-77,-62,2
-48,-75,-79,2
-65,-80,-77,2
-65,-79,-78,2
-64,-78,-78,2
-49,-67,-75,2
-49,-84,-76,2
-63,-79,-75,2
-64,-79,-78,2
-63,-64,-78,2
-65,-78,-76,2
-64,-78,-76,2
-62,-78,-76,2
-64,-77,-79,2
-64,-80,-62,2
-63,-77,-79,2
-62,-75,-79,2
-62,-79,-61,2
-65,-81,-79,2
-64,-77,-76,2
-63,-78,-77,2
-65,-79,-75,2
-64,-61,-63,2
-63,-75,-79,2
-63,-80,-75,2
-65,-78,-75,2
-63,-78,-77,2
-49,-78,-75,2
-64,-80,-75,2
-62,-64,-79,2
-63,-75,-75,2
-63,-77,-77,2
-65,-78,-75,2
-47,-79,-76,2
-63,-80,-76,2
-63,-67,-74,2
-65,-75,-77,2
-65,-66,-76,2
