B1_RSSI,B2_RSSI,B3_RSSI,B4_RSSI,Class
-66,-68,-73,-78,1
-67,-68,-73,-77,1
-66,-68,-91,-75,1
-66,-97,-91,-76,1
-67,-74,-91,-79,1
-74,-80,-91,-69,1
-61,-74,-91,-71,1
-80,-79,-91,-72,1
-72,-77,-77,-72,1
-72,-58,-66,-55,1
-72,-75,-81,-70,1
-70,-75,-90,-59,1
-50,-64,-80,-72,1
-66,-64,-80,-75,1
-78,-90,-79,-70,1
-64,-74,-84,-74,1
-72,-75,-92,-70,1
-79,-78,-79,-71,1
-73,-74,-76,-71,1
-72,-91,-82,-72,1
-69,-81,-73,-84,1
-65,-88,-85,-79,1
-77,-88,-82,-70,1
-67,-74,-82,-79,1
-69,-87,-96,-79,1
-85,-78,-96,-82,1
-85,-81,-83,-64,1
-70,-75,-83,-73,1
-69,-81,-81,-70,1
-60,-75,-81,-78,1
-67,-89,-87,-68,1
-70,-75,-84,-56,1
-65,-95,-81,-71,1
-75,-69,-79,-70,1
-65,-77,-79,-71,1
-76,-75,-84,-75,1
-70,-60,-84,-78,1
-70,-89,-90,-61,1
-70,-97,-84,-71,1
-75,-75,-86,-70,1
-66,-89,-86,-71,1
-66,-76,-95,-71,1
-68,-76,-82,-75,1
-73,-83,-89,-74,1
-66,-94,-96,-85,1
-67,-82,-77,-76,1
-69,-80,-90,-68,1
-80,-85,-85,-90,1
-74,-94,-86,-77,1
-65,-82,-86,-71,1
-72,-77,-77,-59,1
-76,-77,-87,-75,1
-72,-86,-84,-91,1
-75,-75,-81,-91,1
-68,-74,-87,-71,1
-68,-73,-90,-70,1
-56,-75,-83,-70,1
-72,-75,-79,-76,1
-71,-89,-80,-72,1
-65,-75,-83,-78,1
-76,-79,-85,-78,1
-66,-88,-80,-70,1
-60,-89,-81,-67,1
-66,-89,-92,-79,1
-73,-74,-82,-55,1
-73,-73,-65,-70,1
-65,-74,-84,-69,1
-67,-74,-82,-69,1
-66,-94,-88,-70,1
-66,-97,-88,-69,1
-72,-92,-82,-71,1
-65,-92,-79,-68,1
-70,-73,-94,-82,1
-72,-95,-85,-71,1
-73,-94,-85,-71,1
-65,-59,-76,-76,1
-69,-84,-95,-72,1
-73,-91,-79,-70,1
-72,-73,-94,-73,1
-71,-78,-82,-72,1
-70,-77,-83,-71,1
-65,-74,-94,-74,1
-72,-74,-85,-71,1
-70,-75,-82,-73,1
-73,-75,-80,-59,1
-71,-78,-83,-59,1
-61,-78,-83,-70,1
-73,-79,-66,-76,1
-72,-95,-66,-75,1
-72,-79,-90,-71,1
-56,-77,-83,-70,1
-71,-77,-90,-76,1
-75,-72,-82,-55,1
-49,-90,-81,-74,1
-71,-74,-81,-71,1
-69,-74,-81,-69,1
-67,-99,-88,-71,1
-70,-67,-89,-75,1
-57,-77,-89,-75,1
-65,-79,-86,-75,1
-65,-92,-86,-69,1
-74,-72,-84,-73,1
-59,-72,-88,-58,1
-73,-72,-87,-76,1
-66,-78,-87,-72,1
-49,-73,-87,-71,1
-65,-73,-82,-72,1
-65,-79,-82,-72,1
-69,-74,-87,-74,1
-69,-72,-81,-76,1
-65,-59,-69,-71,1
-74,-59,-80,-58,1
-72,-94,-82,-72,1
-71,-59,-81,-75,1
-65,-93,-79,-73,1
-70,-79,-81,-72,1
-72,-74,-81,-72,1
-74,-81,-81,-72,1
-65,-73,-81,-70,1
-62,-80,-72,-75,1
-62,-73,-72,-73,1
-62,-99,-87,-57,1
-50,-74,-84,-71,1
-50,-63,-82,-72,1
-50,-76,-83,-72,1
-59,-76,-83,-76,1
-66,-73,-84,-76,1
-72,-58,-84,-59,1
-55,-95,-78,-72,1
-72,-73,-79,-72,1
-70,-79,-75,-71,1
-66,-73,-75,-65,1
-49,-81,-91,-74,1
-70,-81,-80,-74,1
-73,-74,-80,-70,1
-73,-96,-85,-71,1
-59,-74,-85,-72,1
-55,-61,-85,-77,1
-74,-75,-73,-71,1
-72,-80,-83,-63,1
-70,-75,-79,-75,1
-65,-74,-79,-73,1
-58,-88,-79,-74,1
-59,-80,-79,-60,1
-65,-80,-66,-75,1
-71,-59,-96,-75,1
-66,-96,-81,-60,1
-72,-96,-86,-55,1
-49,-96,-82,-76,1
-73,-96,-89,-79,1
-66,-93,-83,-69,1
-71,-93,-84,-72,1
-76,-59,-81,-68,1
-66,-59,-87,-69,1
-65,-59,-87,-70,1
-64,-59,-82,-57,1
-71,-95,-82,-68,1
-72,-96,-82,-58,1
-73,-69,-82,-74,1
-65,-79,-82,-69,1
-57,-67,-82,-70,1
-57,-93,-73,-62,1
-55,-60,-88,-71,1
-70,-89,-88,-72,1
-74,-59,-89,-72,1
-60,-79,-96,-77,1
-59,-76,-90,-71,1
-73,-76,-85,-69,1
-58,-93,-79,-71,1
-73,-73,-83,-70,1
-65,-77,-83,-74,1
-71,-79,-88,-70,1
-65,-74,-88,-55,1
-72,-74,-81,-69,1
-65,-77,-88,-71,1
-64,-78,-82,-66,1
-59,-78,-84,-71,1
-75,-79,-83,-72,1
-74,-77,-82,-72,1
-72,-72,-86,-72,1
-65,-76,-86,-68,1
-72,-94,-89,-72,1
-72,-77,-89,-72,1
-72,-77,-88,-71,1
-72,-97,-87,-76,1
-72,-97,-79,-76,1
-70,-97,-81,-72,1
-65,-74,-82,-71,1
-66,-74,-82,-70,1
-73,-85,-82,-71,1
-65,-78,-86,-71,1
-65,-73,-79,-70,1
-65,-90,-78,-70,1
-75,-73,-78,-68,1
-56,-81,-87,-70,1
-70,-81,-84,-72,1
-70,-79,-67,-70,1
-65,-79,-71,-73,1
-73,-81,-93,-72,1
-65,-78,-87,-72,1
-71,-92,-84,-87,1
-72,-74,-84,-87,1
-70,-74,-79,-69,1
-65,-74,-84,-56,1
-66,-74,-94,-54,1
-65,-95,-89,-70,1
-61,-79,-94,-70,1
-56,-79,-94,-67,1
-65,-79,-79,-69,1
-66,-74,-95,-69,1
-59,-74,-79,-55,1
-72,-74,-70,-72,1
-71,-73,-71,-72,1
-66,-76,-71,-71,1
-74,-64,-79,-87,1
-74,-78,-79,-73,1
-74,-79,-85,-70,1
-71,-79,-65,-69,1
-74,-63,-85,-62,1
-74,-73,-91,-70,1
-74,-73,-78,-73,1
-74,-73,-81,-70,1
-75,-68,-81,-70,1
-65,-76,-80,-65,1
-74,-84,-80,-59,1
-74,-76,-86,-72,1
-70,-77,-81,-70,1
-59,-75,-91,-71,1
-65,-83,-81,-77,1
-74,-75,-80,-70,1
-66,-76,-80,-77,1
-66,-62,-81,-71,1
-67,-77,-79,-71,1
-71,-77,-73,-76,1
-71,-77,-80,-78,1
-71,-77,-93,-58,1
-72,-76,-85,-70,1
-70,-76,-85,-70,1
-70,-60,-85,-75,1
-75,-76,-95,-75,1
-75,-74,-69,-71,1
-70,-75,-80,-62,1
-74,-91,-80,-77,1
-65,-91,-66,-70,1
-72,-76,-83,-62,1
-67,-76,-69,-71,1
-74,-91,-80,-55,1
-66,-76,-90,-70,1
-72,-93,-88,-72,1
