B0,B1,Label
-76,-72,l
-77,-82,j
-63,-80,e
-75,-64,q
-80,-63,r
-77,-72,f
-92,-36,s
-70,-74,k
-88,-74,f
-78,-79,c
-80,-52,s
-48,-81,e
-81,-79,b
-83,-76,f
-86,-80,b
-86,-52,s
-72,-66,m
-80,-36,s
-48,-75,e
-76,-42,n
-78,-68,l
-82,-79,d
-74,-65,c
-88,-36,s
-60,-64,l
-86,-78,f
-91,-52,s
-89,-75,a
-76,-65,q
-60,-81,e
-76,-64,f
-73,-64,m
-88,-89,j
-76,-57,k
-82,-55,f
-83,-57,n
-74,-73,p
-75,-55,n
-75,-65,l
-77,-75,k
-87,-51,s
-75,-65,q
-76,-57,h
-64,-74,e
-78,-67,p
-86,-77,a
-71,-63,r
-73,-66,m
-75,-56,l
-78,-68,l
-69,-72,b
-75,-64,l
-71,-71,k
-77,-57,n
-60,-55,q
-79,-56,a
-67,-66,q
-48,-75,e
-75,-76,d
-77,-79,c
-88,-52,s
-88,-77,b
-78,-73,h
-61,-64,q
-60,-81,c
-76,-65,q
-77,-63,q
-75,-65,q
-76,-71,l
-81,-46,r
-64,-73,h
-89,-67,m
-64,-82,e
-77,-64,c
-75,-57,k
-75,-79,c
-75,-76,p
-78,-50,q
-71,-62,k
-76,-64,q
-73,-80,c
-65,-77,b
-82,-72,b
-70,-60,d
-86,-71,k
-92,-55,n
-69,-71,a
-78,-54,l
-76,-71,p
-83,-73,f
-81,-87,j
-72,-73,k
-74,-70,l
-84,-59,r
-78,-69,l
-86,-81,j
-78,-79,d
-78,-78,p
-80,-75,d
-85,-45,s
-81,-62,r
-75,-79,c
-66,-71,a
-77,-49,l
-86,-74,f
-77,-61,d
-89,-51,s
-86,-52,s
-77,-81,j
-75,-59,j
-60,-74,e
-79,-68,l
-92,-52,s
-63,-72,k
-70,-79,a
-59,-86,j
-55,-71,k
-80,-72,h
-75,-72,l
-80,-65,r
-80,-73,l
-51,-77,b
-81,-41,s
-76,-75,h
-76,-89,j
-80,-51,s
-80,-59,r
-83,-63,r
-88,-74,h
-85,-89,j
-81,-77,b
-85,-59,r
-76,-71,k
-66,-60,r
-78,-61,f
-77,-67,q
-82,-63,r
-74,-80,c
-78,-71,p
-76,-73,f
-75,-50,q
-79,-75,h
-78,-72,j
-77,-66,q
-75,-56,n
-78,-75,p
-83,-78,a
-78,-73,p
-63,-71,h
-76,-50,q
-75,-41,n
-75,-54,l
-61,-73,h
-63,-76,d
-89,-62,r
-88,-71,h
-76,-75,d
-89,-51,s
-84,-62,r
-72,-64,m
-76,-77,a
-75,-61,m
-75,-68,f
-86,-61,r
-72,-62,m
-88,-57,n
-79,-77,d
-74,-77,d
-72,-60,m
-75,-71,l
-72,-61,m
-75,-73,p
-74,-73,h
-75,-58,n
-76,-68,l
-75,-68,l
-76,-75,d
-71,-74,j
-75,-65,m
-74,-48,r
-97,-58,n
-71,-75,k
-86,-72,h
-75,-77,c
-62,-72,l
-78,-59,n
-87,-58,f
-65,-72,b
-60,-75,e
-88,-73,m
-81,-74,h
-79,-66,j
-87,-57,n
-95,-66,r
-80,-55,n
-86,-72,f
-88,-54,f
-83,-75,b
-76,-80,d
-74,-73,f
-85,-78,b
-87,-76,a
-63,-86,e
-63,-74,e
-77,-68,d
-84,-60,h
-75,-77,c
-76,-67,f
-66,-62,b
-63,-81,d
-65,-65,b
-75,-68,l
-71,-71,k
-74,-71,j
-91,-78,a
-76,-64,q
-70,-72,k
-81,-76,d
-74,-64,m
-75,-64,q
-76,-72,h
-84,-80,j
-76,-66,q
-74,-74,f
-85,-52,s
-93,-57,n
-84,-72,j
-48,-91,e
-80,-82,j
-73,-83,b
-65,-79,d
-64,-76,a
-75,-82,j
-75,-74,m
-60,-79,e
-87,-59,n
-67,-76,f
-75,-71,r
-76,-59,h
-64,-76,e
-69,-71,a
-73,-96,j
-70,-59,k
-85,-74,h
-82,-61,d
-72,-75,k
-73,-61,m
-70,-78,a
-92,-52,s
-75,-66,q
-61,-81,d
-71,-72,j
-62,-79,e
-82,-71,a
-76,-74,h
-60,-66,m
-71,-66,r
-77,-80,c
-76,-59,n
-79,-73,p
-88,-75,a
-76,-67,p
-70,-72,f
-75,-74,k
-69,-55,n
-73,-60,m
-75,-58,f
-85,-72,j
-84,-71,k
-67,-55,l
-74,-79,c
-61,-66,c
-90,-52,s
-77,-54,f
-71,-80,a
-79,-79,d
-87,-64,m
-75,-73,k
-85,-41,s
-77,-80,c
-88,-51,s
-81,-51,s
-71,-76,k
-65,-83,e
-77,-57,h
-80,-73,j
-90,-52,s
-93,-57,n
-84,-79,b
-76,-63,l
-80,-71,p
-82,-35,s
-88,-52,s
-86,-59,f
-91,-77,a
-66,-80,j
-84,-80,j
-78,-59,f
-86,-66,a
-76,-68,p
-77,-73,f
-76,-55,n
-76,-73,l
-76,-76,h
-93,-51,s
-77,-57,n
-79,-72,l
-75,-60,f
-67,-78,b
-75,-50,r
-67,-80,b
-78,-63,r
-84,-68,f
-76,-67,q
-65,-80,b
-71,-52,s
-94,-67,m
-76,-71,h
-75,-73,k
-81,-76,a
-78,-76,f
-72,-77,b
-65,-79,e
-74,-61,r
-84,-76,a
-86,-82,j
-84,-65,r
-67,-63,r
-85,-71,j
-75,-68,p
-77,-49,q
-67,-58,f
-68,-52,s
-74,-80,c
-76,-63,h
-85,-63,r
-90,-66,m
-77,-49,m
-85,-57,n
-78,-74,h
-74,-77,c
-73,-76,c
-59,-78,c
-77,-77,h
-72,-60,m
-76,-73,p
-77,-63,r
-82,-61,r
-77,-64,l
-76,-54,n
-77,-66,p
-76,-64,q
-67,-75,d
-71,-63,r
-78,-66,q
-62,-74,p
-76,-74,p
-70,-76,a
-64,-76,e
-77,-80,c
-61,-79,c
-86,-51,s
-85,-57,n
-86,-76,a
-62,-43,n
-74,-64,c
-56,-73,k
-85,-66,f
-73,-67,f
-75,-76,k
-76,-66,q
-75,-84,j
-75,-71,k
-66,-72,b
-70,-59,r
-71,-63,l
-63,-75,d
-76,-68,l
-83,-73,f
-80,-67,f
-64,-71,b
-71,-57,k
-68,-76,a
-75,-71,h
-80,-71,h
-84,-64,r
-83,-79,d
-82,-79,d
-90,-40,s
-59,-77,c
-78,-68,l
-76,-74,k
-90,-75,k
-84,-60,d
-83,-74,k
-81,-63,r
-62,-78,e
-90,-51,s
-76,-67,j
-85,-77,b
-70,-79,a
-79,-68,l
-71,-72,f
-90,-52,s
-55,-64,b
-85,-76,a
-75,-71,f
-76,-63,c
-64,-76,e
-70,-56,a
-84,-79,a
-82,-63,r
-70,-73,j
-72,-76,a
-79,-63,l
-86,-73,h
-57,-60,m
-51,-78,b
-80,-69,p
-90,-51,s
-78,-46,r
-57,-66,m
-66,-73,b
-77,-60,p
-72,-53,f
-77,-77,c
-74,-61,m
-77,-79,c
-87,-76,a
-79,-73,f
-77,-73,h
-49,-83,e
-77,-61,h
-65,-61,b
-84,-70,f
-63,-84,e
-86,-77,b
-83,-77,a
-81,-61,r
-76,-71,h
-76,-80,c
-75,-71,k
-73,-57,n
-80,-76,a
-75,-65,l
-76,-72,f
-82,-72,l
-77,-73,p
-73,-71,j
-89,-45,n
-70,-57,k
-77,-74,d
-64,-89,e
-76,-64,q
-75,-79,c
-64,-81,e
-64,-76,e
-76,-63,q
-77,-64,c
-76,-79,d
-82,-73,h
-71,-81,j
-74,-72,h
-86,-73,h
-78,-66,q
-84,-63,r
-86,-73,k
-73,-65,m
-69,-62,b
-76,-72,p
-64,-68,e
-80,-51,s
-61,-58,n
-51,-74,b
-77,-73,p
-83,-80,d
-72,-73,b
-69,-72,a
-83,-72,h
-79,-64,q
-73,-64,c
-65,-59,e
-62,-84,e
-67,-57,h
-77,-77,c
-85,-65,r
-91,-65,r
-86,-76,a
-82,-52,s
-77,-70,p
-75,-58,n
-85,-75,d
-88,-36,s
-64,-69,e
-65,-60,r
-79,-64,l
-81,-76,d
-63,-88,e
-62,-78,e
-88,-57,n
-77,-70,p
-85,-60,r
-67,-78,b
-75,-77,c
-83,-52,s
-77,-71,h
-64,-75,e
-82,-75,d
-76,-64,m
-61,-50,q
-83,-42,n
-55,-74,k
-74,-59,j
-73,-61,m
-79,-74,f
-85,-71,k
-61,-80,e
-76,-73,f
-69,-72,a
-72,-76,f
-65,-79,b
-78,-72,l
-71,-71,k
-70,-73,k
-68,-74,e
-48,-82,e
-72,-61,m
-62,-49,q
-81,-40,s
-64,-74,b
-76,-73,h
-81,-72,h
-69,-66,m
-74,-66,q
-71,-79,b
-76,-57,h
-73,-75,j
-81,-66,j
-77,-67,q
-60,-76,c
-83,-35,s
-70,-71,k
-80,-78,a
-73,-74,h
-77,-66,q
-78,-59,f
-64,-82,e
-71,-79,b
-83,-71,h
-71,-75,h
-79,-72,h
-69,-64,r
-74,-84,j
-78,-75,f
-84,-72,h
-83,-67,m
-61,-77,c
-81,-54,l
-68,-73,h
-80,-36,s
-77,-79,d
-79,-74,p
-90,-51,s
-84,-63,r
-79,-73,p
-80,-47,n
-75,-59,n
-83,-58,n
-68,-73,f
-69,-73,h
-82,-45,s
-84,-77,d
-76,-74,h
-76,-62,r
-63,-81,e
-71,-77,b
-81,-64,q
-89,-75,h
-79,-77,a
-80,-64,r
-69,-65,r
-78,-60,h
-62,-63,e
-90,-52,s
-70,-75,a
-61,-73,k
-67,-50,r
-60,-75,e
-79,-71,p
-81,-70,p
-78,-65,c
-69,-72,h
-61,-58,e
-76,-79,j
-80,-80,b
-78,-71,a
-63,-55,f
-79,-67,p
-62,-74,f
-64,-78,b
-80,-76,a
-81,-74,f
-75,-66,a
-85,-66,r
-62,-82,e
-83,-49,r
-80,-68,p
-75,-42,n
-63,-74,e
-89,-52,s
-62,-69,c
-81,-60,d
-68,-76,a
-76,-52,q
-87,-50,m
-74,-74,k
-64,-81,e
-74,-65,l
-74,-71,h
-82,-40,s
-65,-64,b
-61,-76,j
-82,-75,a
-74,-57,n
-58,-75,j
-75,-75,d
-62,-54,f
-75,-72,l
-76,-58,n
-80,-51,s
-71,-70,k
-87,-64,m
-74,-68,p
-61,-75,h
-80,-71,l
-62,-69,f
-62,-74,d
-70,-73,k
-82,-40,s
-82,-52,s
-75,-69,p
-75,-56,n
-74,-83,j
-84,-80,d
-84,-76,a
-72,-72,j
-64,-58,e
-74,-79,c
-60,-60,m
-71,-65,m
-79,-67,p
-75,-65,q
-76,-59,n
-74,-50,l
-72,-72,f
-75,-79,c
-74,-75,d
-91,-80,a
-87,-66,r
-74,-73,p
-72,-51,s
-78,-72,h
-84,-74,h
-66,-71,a
-82,-57,k
-80,-66,q
-56,-73,e
-55,-73,k
-78,-70,p
-63,-87,e
-59,-65,c
-85,-53,s
-88,-59,n
-66,-73,b
-70,-75,k
-84,-77,b
-84,-66,r
-63,-75,e
-64,-75,e
-75,-74,j
-81,-73,b
-63,-68,f
-82,-79,d
-90,-52,s
-75,-64,c
-77,-79,d
-89,-53,s
-77,-67,d
-78,-66,r
-75,-75,k
-64,-73,e
-84,-57,n
-78,-67,f
-87,-71,a
-79,-65,l
-84,-60,m
-78,-70,f
-75,-65,q
-52,-79,b
-82,-49,r
-80,-90,d
-75,-73,p
-75,-91,j
-86,-52,s
-76,-49,l
-66,-71,f
-71,-69,f
-76,-57,l
-81,-63,r
-76,-56,n
-73,-60,j
-59,-78,c
-76,-71,p
-75,-68,f
-77,-79,j
-77,-63,l
-74,-64,m
-73,-57,f
-76,-71,h
-89,-74,m
-62,-70,l
-64,-73,h
-69,-76,a
-67,-84,b
-78,-73,h
-97,-87,j
-76,-72,p
-60,-82,e
-73,-64,m
-75,-64,q
-63,-79,d
-76,-63,l
-83,-80,b
-63,-76,e
-75,-61,m
-83,-73,f
-63,-59,e
-78,-67,d
-67,-62,f
-88,-61,h
-79,-51,p
-61,-59,k
-78,-76,d
-78,-68,l
-66,-67,r
-77,-74,h
-75,-75,k
-76,-71,h
-83,-79,a
-82,-52,s
-86,-75,a
-75,-65,m
-77,-75,h
-70,-78,b
-68,-67,d
-80,-70,r
-76,-65,q
-64,-75,e
-79,-49,l
-77,-79,c
-81,-65,r
-70,-71,k
-85,-72,h
-77,-74,f
-56,-61,m
-79,-74,b
-84,-80,d
-49,-76,e
-61,-59,p
-77,-71,h
-62,-72,f
-85,-52,s
-83,-60,m
-89,-75,h
-76,-63,d
-82,-56,r
-78,-72,p
-76,-74,l
-77,-82,j
-72,-61,m
-76,-51,s
-84,-60,r
-76,-82,j
-85,-59,f
-69,-74,f
-83,-61,r
-69,-76,a
-87,-50,m
-77,-77,a
-72,-59,k
-66,-78,a
-85,-52,s
-87,-69,a
-75,-65,l
-87,-57,h
-62,-75,p
-75,-74,h
-84,-57,n
-82,-62,b
-67,-77,b
-82,-65,r
-64,-74,e
-77,-55,n
-84,-46,r
-76,-67,c
-65,-71,f
-72,-60,m
-76,-57,n
-79,-66,r
-63,-75,e
-80,-59,p
-79,-73,b
-62,-75,d
-77,-61,d
-76,-67,p
-67,-74,p
-80,-75,d
-61,-49,q
-84,-43,n
-90,-39,s
-61,-87,e
-61,-60,d
-79,-61,h
-84,-36,s
-82,-49,r
-75,-56,n
-85,-25,s
-86,-72,j
-55,-75,a
-88,-75,k
-71,-74,k
-84,-79,b
-61,-70,l
-76,-79,j
-87,-63,r
-61,-70,e
-48,-91,e
-81,-62,r
-75,-80,c
-46,-73,e
-77,-63,c
-71,-58,e
-88,-71,h
-71,-74,f
-62,-93,e
-85,-74,a
-91,-58,n
-60,-78,c
-76,-50,q
-79,-79,d
-61,-73,l
-67,-76,d
-83,-56,r
-77,-52,s
-77,-64,q
-64,-81,e
-85,-66,m
-78,-80,d
-66,-65,r
-64,-80,e
-75,-79,j
-89,-78,a
-60,-77,c
-63,-63,p
-79,-52,p
-81,-63,r
-70,-64,m
-77,-50,q
-86,-72,a
-73,-62,c
-85,-60,d
-74,-67,m
-76,-75,d
-84,-61,r
-76,-64,q
-72,-70,j
-82,-58,n
-56,-75,k
-70,-77,b
-75,-80,c
-76,-78,j
-72,-66,m
-71,-50,m
-49,-91,e
-77,-80,d
-76,-62,h
-55,-76,a
-74,-80,j
-76,-67,l
-80,-72,l
-72,-76,j
-76,-72,k
-76,-72,f
-75,-81,j
-85,-74,j
-63,-72,l
-61,-69,l
-83,-56,r
-85,-77,a
-78,-74,d
-75,-68,d
-80,-62,r
-87,-64,m
-80,-60,j
-71,-72,a
-77,-53,f
-65,-72,b
-78,-77,c
-86,-57,n
-54,-89,e
-79,-67,q
-65,-78,e
-77,-74,f
-76,-80,c
-80,-82,j
-51,-79,b
-74,-74,k
-91,-52,s
-63,-82,d
-75,-58,n
-85,-63,f
-76,-79,d
-76,-70,f
-75,-73,l
-79,-75,p
-64,-79,e
-51,-79,b
-65,-61,b
-76,-75,d
-86,-63,r
-67,-55,n
-74,-68,q
-62,-73,j
-62,-80,c
-65,-57,n
-76,-80,c
-75,-64,l
-85,-65,r
-76,-57,n
-57,-65,m
-70,-71,k
-60,-65,q
-75,-49,q
-73,-67,f
-67,-78,a
-71,-64,m
-85,-65,r
-75,-65,m
-81,-76,f
-75,-72,k
-77,-67,j
-77,-79,c
-83,-63,r
-77,-59,j
-76,-64,q
-82,-79,b
-61,-78,c
-52,-78,b
-77,-50,q
-85,-61,h
-71,-72,k
-79,-63,r
-76,-41,n
-62,-60,e
-62,-60,e
-66,-71,h
-66,-77,b
-75,-66,q
-87,-71,a
-75,-79,c
-64,-83,e
-78,-79,d
-74,-64,q
-75,-75,d
-79,-63,r
-76,-61,d
-98,-68,f
-80,-52,s
-66,-74,f
-78,-64,l
-85,-57,n
-81,-75,d
-84,-68,j
-76,-75,d
-77,-73,p
-86,-75,k
-86,-51,s
-58,-76,j
-74,-67,l
-85,-71,h
-76,-64,q
-77,-45,m
-75,-43,n
-77,-41,s
-77,-84,j
-67,-79,j
-61,-64,q
-81,-72,j
-76,-80,c
-90,-52,s
-82,-80,d
-73,-67,m
-75,-52,p
-79,-61,c
-61,-64,m
