B0,B1,B2,Label
-70,-82,-83,13
-65,-80,-79,2
-68,-78,-81,10
-77,-81,-58,14
-67,-80,-81,10
-70,-77,-76,11
-64,-81,-77,2
-69,-74,-68,3
-56,-82,-79,10
-51,-67,-77,4
-62,-60,-74,15
-70,-70,-77,13
-74,-73,-72,14
-55,-82,-69,16
-75,-75,-76,12
-77,-77,-66,15
-59,-73,-79,14
-69,-86,-78,13
-73,-73,-79,14
-55,-77,-81,9
-55,-60,-57,8
-74,-80,-82,14
-67,-74,-79,11
-71,-65,-75,4
-67,-85,-81,11
-49,-75,-80,2
-79,-78,-64,15
-71,-73,-69,8
-72,-75,-80,15
-70,-74,-71,8
-83,-72,-68,15
-66,-65,-79,3
-72,-74,-66,15
-61,-79,-76,13
-37,-85,-79,9
-64,-67,-82,4
-39,-90,-79,5
-53,-76,-79,9
-69,-73,-76,13
-66,-64,-80,4
-72,-83,-79,7
-72,-72,-83,7
-65,-73,-80,1
-80,-71,-73,15
-68,-71,-62,16
-63,-75,-62,2
-70,-81,-75,11
-70,-51,-71,8
-66,-67,-79,15
-71,-56,-71,7
-50,-76,-79,5
-74,-68,-70,14
-63,-69,-76,4
-68,-71,-82,6
-82,-71,-75,12
-75,-77,-75,11
-49,-78,-62,11
-53,-75,-81,9
-52,-79,-85,5
-69,-67,-64,4
-71,-76,-83,7
-68,-82,-68,10
-70,-73,-80,7
-84,-54,-73,12
-51,-73,-66,9
-55,-67,-81,4
-62,-75,-77,2
-52,-89,-89,5
-43,-83,-80,1
-71,-56,-80,3
-51,-78,-77,5
-70,-63,-64,13
-59,-74,-69,1
-65,-67,-65,4
-48,-78,-63,2
-78,-67,-71,8
-73,-87,-61,16
-67,-56,-81,3
-69,-73,-81,13
-69,-68,-81,15
-71,-81,-81,7
-68,-82,-64,10
-52,-87,-74,5
-69,-71,-74,15
-71,-71,-78,13
-64,-70,-62,4
-53,-66,-81,4
-54,-66,-80,9
-54,-80,-75,9
-69,-72,-63,16
-72,-80,-73,10
-71,-66,-71,8
-71,-73,-78,13
-59,-91,-80,1
-54,-75,-76,13
-65,-74,-78,6
-73,-56,-70,14
-40,-77,-83,9
-83,-70,-71,12
-59,-77,-78,14
-66,-65,-82,4
-52,-74,-65,6
-64,-80,-62,2
-53,-86,-80,9
-78,-59,-65,15
-65,-67,-76,4
-64,-76,-80,1
-52,-67,-78,5
-64,-79,-76,2
-80,-81,-58,12
-69,-67,-78,4
-57,-67,-62,16
-41,-78,-85,5
-74,-81,-69,7
-49,-61,-62,2
-61,-71,-62,16
-69,-51,-81,4
-67,-66,-71,8
-55,-57,-90,7
-76,-73,-81,7
-62,-70,-81,2
-66,-78,-80,10
-49,-78,-76,11
-52,-79,-80,5
-71,-72,-62,16
-48,-80,-83,1
-50,-85,-76,11
-71,-73,-83,7
-81,-80,-57,12
-60,-92,-63,14
-64,-75,-77,2
-64,-75,-78,2
-36,-78,-91,5
-74,-81,-82,7
-72,-59,-68,13
-69,-76,-77,11
-70,-57,-81,7
-71,-65,-62,16
-69,-77,-82,11
-77,-64,-79,14
-61,-74,-66,1
-73,-71,-81,3
-70,-72,-56,8
-62,-77,-74,15
-69,-71,-79,15
-66,-61,-65,16
-80,-74,-80,14
-63,-75,-77,2
-55,-82,-75,13
-64,-74,-80,1
-56,-64,-84,10
-50,-70,-79,5
-67,-72,-64,16
-66,-59,-84,6
-44,-74,-69,1
-75,-73,-75,14
-63,-67,-83,4
-69,-66,-80,4
-57,-77,-81,1
-75,-81,-76,12
-77,-73,-79,14
-52,-67,-79,5
-43,-82,-87,1
-55,-80,-84,7
-69,-72,-81,13
-64,-53,-79,4
-89,-70,-71,12
-71,-73,-62,16
-79,-90,-73,14
-49,-75,-77,2
-64,-80,-79,1
-55,-73,-88,7
-83,-90,-75,12
-52,-74,-84,6
-52,-79,-86,5
-54,-63,-62,9
-76,-76,-81,10
-71,-74,-71,8
-70,-67,-80,4
-81,-82,-76,12
-69,-72,-62,13
-71,-70,-80,7
-84,-78,-80,15
-74,-74,-76,12
-70,-77,-79,10
-70,-70,-47,16
-65,-76,-67,2
-68,-64,-79,13
-54,-61,-82,9
