B0,B1,B2,B3,Label
-79,-80,-76,-69,11
-74,-64,-72,-69,8
-87,-82,-55,-70,16
-80,-76,-80,-61,6
-75,-73,-79,-79,3
-86,-80,-59,-79,16
-59,-66,-71,-56,8
-72,-80,-62,-63,15
-84,-80,-55,-69,16
-72,-57,-77,-72,5
-72,-77,-82,-55,13
-79,-77,-84,-65,14
-80,-74,-81,-64,6
-69,-84,-95,-72,1
-63,-78,-77,-60,14
-72,-83,-79,-63,10
-75,-79,-67,-69,11
-69,-86,-85,-59,9
-91,-82,-75,-87,12
-72,-76,-77,-55,13
-70,-59,-82,-63,10
-82,-73,-54,-77,16
-70,-78,-70,-52,13
-83,-73,-88,-69,7
-73,-74,-76,-71,1
-98,-65,-87,-72,8
-79,-71,-75,-68,12
-82,-64,-78,-65,4
-56,-77,-83,-70,1
-80,-79,-56,-60,16
-74,-68,-81,-77,3
-72,-93,-86,-72,5
-82,-80,-44,-68,16
-70,-97,-81,-72,1
-71,-59,-84,-61,10
-75,-73,-77,-46,13
-86,-82,-82,-54,15
-57,-77,-78,-53,13
-84,-86,-55,-67,16
-82,-78,-85,-71,7
-59,-78,-84,-71,1
-72,-84,-79,-74,5
-79,-80,-79,-67,6
-60,-82,-81,-65,6
-59,-78,-79,-69,11
-80,-76,-89,-71,7
-83,-73,-66,-68,15
-73,-62,-61,-69,2
-75,-66,-95,-67,8
-89,-81,-74,-77,12
-72,-86,-79,-72,5
-72,-86,-84,-91,1
-86,-70,-75,-77,12
-72,-72,-76,-65,6
-73,-75,-74,-55,13
-72,-58,-79,-76,4
-60,-89,-81,-67,1
-72,-76,-78,-68,2
-82,-68,-54,-68,16
-73,-63,-75,-74,4
-68,-81,-59,-58,9
-75,-71,-86,-59,9
-84,-80,-81,-64,15
-77,-75,-87,-72,7
-62,-73,-72,-73,1
-85,-73,-78,-56,13
-82,-77,-76,-61,14
-59,-72,-61,-56,2
-68,-68,-71,-61,9
-71,-76,-80,-55,13
-68,-74,-87,-71,1
-74,-74,-67,-62,10
-81,-47,-80,-72,4
-73,-77,-79,-61,10
-79,-79,-77,-70,11
-72,-78,-76,-70,2
-74,-50,-92,-72,8
-83,-81,-85,-68,15
-63,-75,-84,-69,7
-72,-83,-63,-75,5
-67,-74,-82,-79,1
-84,-73,-85,-52,7
-90,-64,-56,-69,16
-73,-65,-56,-72,8
-74,-65,-80,-81,4
-56,-71,-82,-72,5
-77,-75,-63,-72,11
-69,-67,-84,-54,15
-71,-63,-75,-61,10
-80,-76,-79,-57,13
-84,-71,-77,-61,12
-86,-75,-75,-68,7
-57,-64,-80,-77,4
-74,-65,-70,-73,8
-73,-63,-78,-79,4
-73,-70,-83,-68,8
-80,-81,-80,-71,15
-81,-73,-86,-69,7
-79,-64,-95,-60,14
-86,-74,-81,-65,15
-72,-83,-68,-82,5
-79,-75,-83,-59,14
-75,-80,-77,-70,11
-81,-80,-83,-62,15
-63,-83,-87,-83,5
-78,-59,-76,-71,15
-87,-81,-76,-72,12
-72,-74,-89,-72,5
-73,-79,-92,-62,10
-78,-76,-81,-65,6
-72,-73,-77,-69,2
-75,-64,-90,-65,8
-72,-63,-81,-74,4
-72,-80,-77,-54,13
-65,-74,-79,-54,13
-80,-59,-84,-61,14
-73,-68,-65,-73,3
-73,-64,-71,-70,8
-91,-72,-73,-87,12
-62,-80,-80,-71,2
-76,-76,-78,-53,11
-85,-73,-68,-54,15
-63,-75,-83,-74,7
-66,-54,-74,-66,4
-78,-78,-82,-72,11
-77,-77,-84,-67,7
-71,-93,-88,-72,5
-91,-75,-75,-67,11
-74,-77,-82,-72,1
-68,-77,-78,-71,2
-73,-65,-67,-83,4
-74,-80,-91,-69,1
-77,-80,-75,-87,12
-74,-59,-89,-72,1
-70,-79,-80,-61,10
-75,-94,-74,-58,13
-70,-79,-88,-57,9
-83,-83,-78,-60,10
-74,-67,-72,-70,8
-74,-72,-65,-83,3
-64,-78,-61,-70,2
-74,-85,-76,-73,11
-74,-67,-73,-71,8
-63,-76,-79,-70,2
-72,-83,-93,-75,5
-86,-79,-80,-49,15
-83,-79,-78,-60,14
-71,-91,-78,-87,5
-60,-67,-81,-63,10
-86,-66,-46,-65,16
-75,-75,-75,-66,11
-72,-86,-80,-70,5
-69,-81,-77,-59,9
-74,-80,-79,-68,6
-76,-87,-79,-68,6
-85,-81,-77,-60,12
-82,-58,-55,-63,16
-81,-71,-81,-72,3
-93,-72,-75,-75,12
-72,-83,-75,-61,9
-71,-74,-88,-69,5
-81,-81,-94,-74,6
-73,-74,-80,-70,1
-72,-76,-78,-56,2
-68,-59,-71,-67,3
-74,-72,-84,-73,1
-86,-82,-77,-89,12
-72,-73,-79,-72,1
-77,-64,-83,-71,14
-74,-73,-88,-83,3
-67,-69,-80,-86,3
-74,-67,-84,-70,8
-71,-83,-77,-56,13
-80,-69,-85,-86,3
-77,-76,-80,-70,6
-70,-77,-83,-63,14
-75,-83,-88,-69,7
-79,-80,-80,-71,11
-78,-73,-76,-71,7
-72,-94,-78,-58,5
-85,-77,-65,-63,10
-75,-76,-102,-69,7
-82,-70,-56,-71,16
-81,-79,-79,-62,15
-87,-81,-55,-77,16
-67,-82,-55,-78,16
-75,-72,-95,-67,3
-61,-64,-81,-79,4
-81,-77,-74,-63,14
-64,-80,-80,-70,6
-78,-73,-86,-73,7
-72,-74,-80,-70,5
-69,-73,-80,-63,10
-85,-75,-86,-62,5
-68,-78,-75,-70,2
-74,-76,-72,-71,8
-68,-77,-62,-68,2
-73,-74,-78,-70,2
-54,-83,-75,-60,9
-63,-64,-79,-81,4
